Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d994c47b-2b03-c7c2-b0d9-502d52408e4e,2021-05-13,,999-11-4073,,,,Terica746,Jesenia223,Jacobs452,,,,white,nonhispanic,F,New York  New York  US,130 Bins Run,Syracuse,New York,Onondaga County,36067,13204,43.08076405229129,-76.13964341013978,9238.73,9923.65,106183
461c6b9d-81b3-3ff7-9463-bec1b2e0f5b8,1997-06-07,,999-48-9983,S99912352,X42544153X,Mrs.,Tillie335,,Dach178,,Medhurst46,M,hawaiian,nonhispanic,F,Buffalo  New York  US,723 Kling Well Suite 52,Felts Mills,New York,Jefferson County,36045,13638,44.04793993826378,-75.78818745437229,120003.25,314451.46,44207
b1c9fdd3-a94e-8854-5f7f-97181b70fe00,1999-06-01,,999-99-3428,S99936422,X31594479X,Mr.,Cesar434,Ferdinand55,Williamson769,,,,black,nonhispanic,M,New York  New York  US,612 Streich Rapid,Walton Park,New York,Orange County,,00000,41.355043715957436,-74.21324519886852,84624.78,243912.43,33522
f9e60e09-cacc-b2c5-8445-b5e7cd70ed9b,1970-07-08,,999-55-1414,S99944607,X47493840X,Mrs.,Jaclyn627,Roslyn469,Hessel84,,Lebsack687,M,white,nonhispanic,F,Hornell  New York  US,1046 Zulauf Heights,Chester,New York,Warren County,36071,10918,41.33733362398465,-74.31079932755895,731103.27,381220.63,63158
a04ac436-c736-5589-db9c-599249ba68c8,1981-11-17,,999-15-1099,S99949400,X83185826X,Mrs.,Alicia629,,Fisher429,,Spinka232,M,asian,nonhispanic,F,Carmel  New York  US,703 Homenick Viaduct Suite 75,Schenectady,New York,Schenectady County,36093,12304,42.82801159427046,-73.96524725608505,422160.74,621498.45,37447
89019aa8-3c35-3221-3bd3-8c17c8d002b2,1955-08-23,,999-49-1715,S99946195,X64600266X,Ms.,Akiko835,Demetrius568,D'Amore443,,,S,white,nonhispanic,F,Irvington  New York  US,135 Cole Burg Suite 83,Wilton,New York,Saratoga County,,00000,43.18488346934375,-73.74079544497877,359795.30,102462.28,41497
b8cecc26-d9d9-1355-3714-7dc5a4f1a6b4,1964-06-01,,999-67-7336,S99971952,X77942750X,Mr.,Rubén780,Ignacio928,Archuleta517,,,S,white,hispanic,M,Bayamon  Puerto Rico  PR,1097 Macejkovic Lock Suite 50,New York,New York,Bronx County,36061,10282,40.690628700892994,-73.84794223737833,13317.95,282606.74,12756
87de5b32-b3d1-455c-4121-08d8ef37f1fe,1949-09-26,,999-36-8719,S99919623,X19835439X,Mr.,Elbert916,Willard975,Koepp521,,,M,white,nonhispanic,M,New York  New York  US,401 Langosh Dam,New York,New York,Kings County,36081,11411,40.81972005882263,-73.92095392631478,12474.35,469460.54,18773
2710f015-2444-97bb-3625-02ba85e0176e,1949-06-20,2023-08-01,999-73-1296,S99972293,X41099325X,Mr.,Dennis979,Renato359,Zulauf375,,,M,asian,nonhispanic,M,Glen Cove  New York  US,287 Wolf Skyway,New York,New York,Queens County,36047,11213,40.529978052477354,-73.83674260362785,322566.51,678676.35,35318
4da67a54-6874-1651-2ad0-4ea849616d79,1948-07-24,,999-80-6537,S99911383,X68054988X,Mr.,Alonso270,,Doyle959,,,S,white,nonhispanic,M,Syosset  New York  US,627 Schumm Divide Unit 64,Great Neck Plaza,New York,Nassau County,36059,11021,40.74981956962517,-73.76410600369775,246708.32,1115340.36,645891
eb1db751-6d6c-bcc2-c93f-8b7b6f6c4d6a,1949-06-20,2001-04-16,999-79-7692,S99920818,X09934066X,Mr.,John539,Joesph309,Ferry570,,,M,asian,nonhispanic,M,Oneonta  New York  US,673 Brekke Annex Apt 54,New York,New York,Queens County,36061,10112,40.788520914262676,-73.86087778541365,187737.56,47713.25,35318
04848ab2-ab54-ffc6-35b7-ced4cea9ac62,1949-06-20,2011-07-14,999-71-8263,S99912411,X58983441X,Mr.,Fausto876,Gayle448,Nader710,,,M,asian,nonhispanic,M,Firthcliffe  New York  US,658 Beatty Glen Apt 9,New York,New York,Queens County,36061,10174,40.73249433263332,-74.01963826443209,309331.47,540988.86,35318
acaf231b-0183-8f6f-a90e-379711d23bf7,1949-06-20,2017-11-20,999-65-5556,S99955047,X69262897X,Mr.,Minh326,Jerome176,Barton704,,,M,asian,nonhispanic,M,Ogdensburg  New York  US,369 Sipes Bypass Unit 78,New York,New York,Queens County,36081,11414,40.72559190071265,-74.03526234639303,310443.90,191647.41,35318
78ae2116-7a07-e8df-8cb2-524af4ab3dc1,1949-06-20,2003-04-08,999-59-3933,S99968292,X45869015X,Mr.,Kent912,,Littel644,,,S,asian,nonhispanic,M,New York  New York  US,809 Shanahan Mall,New York,New York,Queens County,36081,11411,40.85761567554148,-73.88188165381455,245968.38,57175.44,35318
b3b4cc1b-48fc-d89d-36a1-c583ec29baa1,1949-06-20,1998-12-18,999-81-4042,S99916328,X08567056X,Mr.,Monty345,,Price929,,,M,asian,nonhispanic,M,New York  New York  US,600 Collier Plaza,New York,New York,Queens County,36061,10069,40.73909123549184,-74.02666609402664,215920.48,22154.80,35318
3f02e3fc-d09e-bef9-275d-07cc6dcbf61e,1949-06-20,,999-31-4998,S99982313,X04755538X,Mr.,Rueben647,Darell496,Aufderhar910,,,S,asian,nonhispanic,M,Clifton Park  New York  US,731 Wilderman Fort Suite 85,New York,New York,Queens County,36061,10024,40.72073287348703,-73.91202683158636,610953.28,1035729.90,35318
